Model,Experiment,Accuracy,Precision,Recall,F1,AUROC,AP,MAE,Best_Threshold
landslide_LR,baseline,0.9592489366134292,0.3014383633269638,0.6726525416987086,0.4163128517292482,0.949304525313742,0.2546325075223976,0.2331760117911654,0.7954921699660413
landslide_RF,baseline,0.9856612109166334,0.6306673479984505,0.8116411657076185,0.7098004021177273,0.9881552912552288,0.6626746151763853,0.1124589925000909,0.89
landslide_MLP,baseline,0.9808175627163754,0.5540441063705794,0.5747978043541673,0.5642301775502183,0.9627290624972452,0.5487873852368218,0.0274349823594093,0.1384804397821426
landslide_SimpleCNN,baseline,0.9871370386233737,0.6675435899688172,0.8060937127098194,0.7303054691347644,0.98943913755311,0.7218542831834841,0.0184293687343597,0.238919198513031
landslide_SpatialAttentionCNN,baseline,0.9866602591910951,0.6618007922373302,0.7823924053989552,0.7170618371294973,0.989014501729806,0.7222147443975583,0.01874053291976452,0.18378889560699463
