Model,Experiment,Accuracy,Precision,Recall,F1,AUROC,AP,MAE,Best_Threshold
landslide_FullCNN,sampler,0.9870232578071628,0.6568910556909807,0.8360637479780435,0.7357259532365706,0.9901962177572045,0.7204768637292747,0.0654525086283683,0.9346007
landslide_FullCNN,sampler,0.9868496647189866,0.6602122614880885,0.8063164593885074,0.725986481614566,0.989866855081966,0.7145023343281927,0.0294148232787847,0.6846083998680115
landslide_FullCNN,class_ratio_1,0.9859011475018752,0.6387418144235575,0.7997560393519132,0.7102375889280592,0.9887761038801108,0.7108460081617629,0.0737815275788307,0.9143204092979432
landslide_FullCNN,class_ratio_3,0.9860655739583326,0.6413182526313123,0.8056110949059956,0.7141372874423503,0.9888856371228836,0.7112883348107281,0.0718188881874084,0.9336751103401184
landslide_FullCNN,class_ratio_5,0.9865783324201076,0.6496672199030998,0.822083742144202,0.7257761306891474,0.9892573588438556,0.7184045270252911,0.0611893646419048,0.94746071100235
landslide_FullCNN,class_ratio_7,0.9865656137185976,0.649750307652892,0.8204555699928403,0.7251926646790797,0.9884356450281448,0.7099294558480345,0.0589511208236217,0.9376993775367736
landslide_FullCNN,class_ratio_9,0.9870485806272864,0.6635738295734137,0.812441993052425,0.7305006306463111,0.990232294577781,0.728083810791042,0.0545366182923316,0.939182460308075
landslide_FullCNN,sample_size_0.01,0.9829042200909788,0.5843429636533085,0.6763754045307443,0.627,0.977751236865731,0.6043874770186338,0.1181308627128601,0.934977412223816
landslide_FullCNN,sample_size_0.05,0.9848360890538884,0.6235364498760789,0.7673538073201515,0.6880098071573388,0.986589206179302,0.6914610877054593,0.0912230908870697,0.9537032842636108
landslide_FullCNN,sample_size_0.1,0.985477753715353,0.6286167592167342,0.7993628882399788,0.7037816108072734,0.9878427334182036,0.69284436710985,0.0991705507040023,0.9592674970626832
landslide_FullCNN,sample_size_0.5,0.985472263720328,0.6223050518083132,0.8302889264348029,0.7114073183833638,0.9895055395924643,0.6798582885123963,0.0822281241416931,0.948363721370697
landslide_FullCNN,sample_size_1.0,0.9866546446291672,0.6536385957134819,0.8132428203972316,0.7247578287656179,0.990234016602214,0.7137637031510514,0.0651944428682327,0.9389494061470032
landslide_LR,baseline,0.9592780406691366,0.3012015747731259,0.670303094587786,0.4156363917385077,0.9492376586285408,0.2540158901315713,0.2326497670615847,0.7950055770767426
landslide_RF,baseline,0.9853648995463204,0.6219879034845666,0.8224602901010315,0.7083124944334446,0.9889301498732082,0.6645772398782237,0.0957760149581095,0.86
landslide_MLP,baseline,0.986186573497022,0.6580160302093553,0.7529521408978744,0.7022902271458841,0.9857018512846608,0.6720330398078397,0.0223864819854497,0.2318604737520218
landslide_SimpleCNN,baseline,0.987228361191873,0.670383387151446,0.8000809087328202,0.7295123738709661,0.9884604011844558,0.7458853845866612,0.019036466255784,0.2567623853683471
landslide_SimpleCNN,baseline,0.9863137605121214,0.6457203108790667,0.8078854419336993,0.7177572566848458,0.9899617254073276,0.7293243708792043,0.0192923229187726,0.2152005732059478
landslide_SpatialAttentionCNN,baseline,0.9864792089191388,0.6744301288404361,0.7223991507430998,0.6975909789851358,0.9848286419644787,0.6961668377210843,0.0214673038572073,0.18077006936073303
