Model,Hazard,Dataset_size,Class_ratio,Accuracy,Precision,Recall,F1,AUROC,AP,MAE,PatchSize,N_Layers,N_Filters,LearningRate,DropValue,Epoch_time,WandB_Run
FullCNN,landslide,0.01,0.5,0.871208735806034,0.1423749616446762,0.9686847599164928,0.2482611021936864,0.971416856277196,0.4974429746760805,0.1724628806114196,5,1,64,1.25e-05,0.4,0.88653363199795,FullCNN_hazard_model
FullCNN,landslide,0.1,0.5,0.8963700113437145,0.1692610418764492,0.9726085571716744,0.2883424479678955,0.9829359723014516,0.6486713575076675,0.1376947462558746,5,1,64,2.5e-05,0.4,2.247411859035492,FullCNN_hazard_model
FullCNN,landslide,1.0,0.5,0.9472475240354812,0.2861113034501426,0.9642279441011906,0.4412826590065375,0.9871572925731684,0.6893873454814581,0.0865071788430213,5,1,64,5e-05,0.4,16.066560328006744,FullCNN_hazard_model
FullCNN,landslide,0.5,0.5,0.9312138247472932,0.2355506639648628,0.9694865743043722,0.3790143557893822,0.9868943206614352,0.6905569931087125,0.1038285791873931,5,1,64,1.25e-05,0.4,8.27163416147232,FullCNN_hazard_model
FullCNN,landslide,1.0,1.0,0.93368136742312,0.2421357714358214,0.971668743867837,0.3876666430387353,0.98812545815014,0.698301691211859,0.0998855009675026,5,1,64,5e-05,0.4,16.24334527552128,FullCNN_hazard_model
FullCNN,landslide,1.0,3.0,0.9768371820582434,0.4815417286740025,0.9404205669433322,0.6369391746633836,0.988063357212264,0.7073235902323247,0.045905977487564,5,1,64,5e-05,0.4,30.23033271729946,FullCNN_hazard_model
FullCNN,landslide,1.0,5.0,0.9781161563488204,0.496579253849746,0.9361883800482618,0.6489422516648806,0.9881505377369126,0.6985661070946332,0.0392469875514507,5,1,64,5e-05,0.4,43.83939169003413,FullCNN_hazard_model
FullCNN,landslide,1.0,9.0,0.9817094759826228,0.5462392266182451,0.9061971308106388,0.6816139204528455,0.9886877429800326,0.7104494661312754,0.037209115922451,5,1,64,5e-05,0.4,71.45101203918458,FullCNN_hazard_model
FullCNN,landslide,1.0,7.0,0.9819206522608466,0.5502532997560091,0.8934528386942802,0.6810601680971228,0.988693503959296,0.7121041086733625,0.03235851973295212,5,1,64,5e-05,0.4,57.29450460842678,FullCNN_hazard_model
